,title,year,duration,stars,people,image_url
0,Cadena perpetua,1994,2h 22m,"9,3"," 2,9 M","https://m.media-amazon.com/images/M/MV5BMTA1MjE0Nzk4MDleQTJeQWpwZ15BbWU4MDA0NjIxMjAx._V1_QL75_UY207_CR6,0,140,207_.jpg"
1,El padrino,1972,2h 55m,"9,2"," 2,1 M","https://m.media-amazon.com/images/M/MV5BNWYxYzc1ZTAtNzM4Ni00MTUwLTliYmMtNWUwOWMzM2M3MjY3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
2,El caballero oscuro,2008,2h 32m,"9,0"," 2,9 M","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
3,El padrino parte II,1974,3h 22m,"9,0"," 1,4 M","https://m.media-amazon.com/images/M/MV5BMjQ5MzQxZTEtMmE1Yy00NjZlLTk5ODItNjI3MWIxMjk1M2U5XkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg"
4,12 hombres sin piedad,1957,1h 36m,"9,0", 887 mil,"https://m.media-amazon.com/images/M/MV5BYThhOGFhODktNGEwNi00MzY2LTg3YWYtNzAzZTE0MTFlMWQxXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
5,El señor de los anillos: El retorno del rey,2003,3h 21m,"9,0", 2 M,"https://m.media-amazon.com/images/M/MV5BZGEzZDkzNDgtMGMzZi00NjNhLTliNWMtMTllYzQ2OTQwNGFkXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
6,La lista de Schindler,1993,3h 15m,"9,0"," 1,5 M","https://m.media-amazon.com/images/M/MV5BZWUyNTJmOTMtZGM4MC00NWE2LThmZTUtZWE1NGM2YzYwZjRlXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
7,Pulp Fiction,1994,2h 34m,"8,9"," 2,3 M","https://m.media-amazon.com/images/M/MV5BMzNlNGRkZWYtNmE0Yy00NjQyLWFmMzItYWY5NGM2YWU4OWYwXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
8,El señor de los anillos: La comunidad del anillo,2001,2h 58m,"8,9", 2 M,"https://m.media-amazon.com/images/M/MV5BNDM0ZTRjNDAtMWFiOS00MjZiLThhZjYtNGQ0ODQ5MGE3Y2Y0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
9,"El bueno, el feo y el malo",1966,3h 2m,"8,8", 827 mil,"https://m.media-amazon.com/images/M/MV5BN2FmNmM5OTUtODEwMC00NDE5LWI4ZTUtZTg1ZmZlYjVjN2EyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
10,Forrest Gump,1994,2h 22m,"8,8"," 2,3 M","https://m.media-amazon.com/images/M/MV5BOWQ0NzQ5MDItYTA3Yy00Y2ZjLWFlMGQtNjcxYzU4MWM3NzFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
11,El señor de los anillos: Las dos torres,2002,2h 59m,"8,8"," 1,8 M","https://m.media-amazon.com/images/M/MV5BNjJhZjZlNjktZTEwYi00MmMwLTgyYTgtYmMyMmRlOWMzNmRjXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
12,El club de la lucha,1999,2h 19m,"8,8"," 2,4 M","https://m.media-amazon.com/images/M/MV5BZjA1YzQ3MDktYzRjMi00NWQ0LWFhYWYtZGMyODcwNGEwZjNmXkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg"
13,Origen,2010,2h 28m,"8,8"," 2,6 M","https://m.media-amazon.com/images/M/MV5BNTQxYmM1NzQtY2FiZS00MzRhLTljZDYtZjRmMGNiMWI3NTQxXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
14,El imperio contraataca,1980,2h 4m,"8,7"," 1,4 M","https://m.media-amazon.com/images/M/MV5BZWQyNTJkMTAtZWQ0Zi00NGFlLWI2ZDktNTA4MzM5NDQ0MTk4XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
15,Matrix,1999,2h 16m,"8,7"," 2,1 M","https://m.media-amazon.com/images/M/MV5BNGE1YzI4NzMtZTUxNi00Y2I5LTg2MmQtODE0NThmYTFmMDk0XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg"
16,Uno de los nuestros,1990,2h 25m,"8,7"," 1,3 M","https://m.media-amazon.com/images/M/MV5BYTE0MmJhNGUtZDI5My00YThhLTk1NmItNDExOWUxMjg1YzUxXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
17,Alguien voló sobre el nido del cuco,1975,2h 13m,"8,7"," 1,1 M","https://m.media-amazon.com/images/M/MV5BYjdkNjdlNDgtZTM1My00YzEwLTk5YjItYjE3YzllZTViNTVlXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
18,Interstellar,2014,2h 49m,"8,7"," 2,2 M","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
19,Seven,1995,2h 7m,"8,6"," 1,8 M","https://m.media-amazon.com/images/M/MV5BMjk4YWQ5YTItZTk2OS00MTcxLWIwNjctZjE3NzNhNjQzZjI2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
