,title,href,points,by,hours ago,comments
0,DeskPad – A virtual monitor for screen sharing,https://github.com/Stengo/DeskPad,873,geerlingguy,18,121
1,Nurdle Patrol,https://www.nurdlepatrol.org/app/,43,amar-laksh,5,2
2,The Copenhagen Book: general guideline on implementing auth in web applications,https://thecopenhagenbook.com/,528,sebnun,16,129
3,AAA Gaming on Asahi Linux,https://rosenzweig.io/blog/aaa-gaming-on-m1.html,699,6a74,21,233
4,Scuda – Virtual GPU over IP,https://github.com/kevmo314/scuda,84,kevmo314,7,15
5,Show HN: HTML for People,https://htmlforpeople.com,430,blakewatson,17,144
6,Uxn,https://100r.co/site/uxn.html,333,tosh,15,62
7,Game Programming in Prolog,https://thingspool.net/morsels/page-10.html,204,febin,15,40
8,ARIA: An Open Multimodal Native Mixture-of-Experts Model,https://arxiv.org/abs/2410.05993,62,jinqueeny,11,13
9,Show HN: Tenno – Markdown and JavaScript = a hybrid of Word and Excel,https://tenno.app,328,deepmacro,21,121
10,History Of Hacking The Nintendo 3DS (2019) [pdf],https://courses.csail.mit.edu/6.857/2019/project/20-Chau-Ko-Tang.pdf,17,supernikio2,4,1
11,Helping wikis move away from Fandom,https://weirdgloop.org/blog/why-were-helping-more-wikis-move-away-from-fandom,958,creatonez,23,438
12,Discovering Roman Mosaics (2020),https://www.world-archaeology.com/features/discovering-roman-mosaics/,20,thunderbong,6,6
13,Proposal: JavaScript Structs,https://github.com/tc39/proposal-structs,168,Kholin,19,227
14,Research in psychology: are we learning anything?,https://www.experimental-history.com/p/is-psychology-going-to-cincinnati,135,ctoth,18,142
15,The science behind on-the-wrist blood pressure tracking,https://www.empirical.health/blog/apple-watch-blood-pressure/,121,brandonb,20,73
16,Nobel Peace Prize for 2024 awarded to Nihon Hidankyo,https://www.nobelprize.org/press-release-peace-2024/,108,danielskogly,2,95
17,AP5 -  Declarative Programming Library For Common Lisp (1995),https://oceanpark.com/ap5.html,5,contrapunctus,3,1
18,Ceres: An ocean world in the asteroid belt,https://www.astronomy.com/science/ceres-an-ocean-world-in-the-asteroid-belt/,65,JumpCrisscross,13,16
19,Designing a Fast Concurrent Hash Table,https://ibraheem.ca/posts/designing-papaya/,139,burntsushi,22,21
20,$2 H100s: How the GPU Rental Bubble Burst,https://www.latent.space/p/gpu-bubble,268,swyx,8,164
21,Ironies of Automation (1983),http://www.complexcognition.co.uk/2021/06/ironies-of-automation.html,62,harperlee,16,8
22,"Kudzu, the vine that never ate the South (2015)",https://www.smithsonianmag.com/science-nature/true-story-kudzu-vine-ate-south-180956325/,57,NoRagrets,17,58
23,How electric trains work and why they make interesting sounds [video],https://www.youtube.com/watch?v=IRJIJPTUXXE,166,zdw,22,64
24,Chunkr – Vision model based PDF chunking,https://github.com/lumina-ai-inc/chunkr,36,redbell,12,4
25,Day Rates (2023),https://davesmyth.com/day-rates,124,herbertl,8,39
26,Bridge to Nowhere,https://depth-first.com/articles/2024/05/24/bridge-to-nowhere/,91,egorpv,16,58
27,Answer any question about your photo albums with OmniQuery,https://jiahaoli.net/omniquery/,47,ljhnick,14,14
28,A Photo of the Moon,https://www.thisiscolossal.com/2024/10/darya-kawa-mirza-moon-photos/,77,surprisetalk,10,22
29,End-to-End Encrypted Cloud Storage in the Wild: A Broken Ecosystem,https://brokencloudstorage.info/,109,dogtype,22,60
30,DeskPad – A virtual monitor for screen sharing,https://github.com/Stengo/DeskPad,873,geerlingguy,18,121
31,Nurdle Patrol,https://www.nurdlepatrol.org/app/,43,amar-laksh,5,2
32,The Copenhagen Book: general guideline on implementing auth in web applications,https://thecopenhagenbook.com/,529,sebnun,16,130
33,AAA Gaming on Asahi Linux,https://rosenzweig.io/blog/aaa-gaming-on-m1.html,699,6a74,21,233
34,Scuda – Virtual GPU over IP,https://github.com/kevmo314/scuda,84,kevmo314,7,15
35,Show HN: HTML for People,https://htmlforpeople.com,432,blakewatson,17,144
36,Uxn,https://100r.co/site/uxn.html,333,tosh,16,62
37,Game Programming in Prolog,https://thingspool.net/morsels/page-10.html,204,febin,15,40
38,ARIA: An Open Multimodal Native Mixture-of-Experts Model,https://arxiv.org/abs/2410.05993,62,jinqueeny,11,13
39,Show HN: Tenno – Markdown and JavaScript = a hybrid of Word and Excel,https://tenno.app,328,deepmacro,21,121
40,History Of Hacking The Nintendo 3DS (2019) [pdf],https://courses.csail.mit.edu/6.857/2019/project/20-Chau-Ko-Tang.pdf,17,supernikio2,4,1
41,Helping wikis move away from Fandom,https://weirdgloop.org/blog/why-were-helping-more-wikis-move-away-from-fandom,958,creatonez,23,438
42,Discovering Roman Mosaics (2020),https://www.world-archaeology.com/features/discovering-roman-mosaics/,20,thunderbong,6,6
43,Proposal: JavaScript Structs,https://github.com/tc39/proposal-structs,168,Kholin,19,227
44,Research in psychology: are we learning anything?,https://www.experimental-history.com/p/is-psychology-going-to-cincinnati,135,ctoth,18,142
45,The science behind on-the-wrist blood pressure tracking,https://www.empirical.health/blog/apple-watch-blood-pressure/,121,brandonb,20,73
46,Nobel Peace Prize for 2024 awarded to Nihon Hidankyo,https://www.nobelprize.org/press-release-peace-2024/,108,danielskogly,2,95
47,AP5 -  Declarative Programming Library For Common Lisp (1995),https://oceanpark.com/ap5.html,5,contrapunctus,3,1
48,Ceres: An ocean world in the asteroid belt,https://www.astronomy.com/science/ceres-an-ocean-world-in-the-asteroid-belt/,65,JumpCrisscross,13,16
49,Designing a Fast Concurrent Hash Table,https://ibraheem.ca/posts/designing-papaya/,139,burntsushi,22,21
50,$2 H100s: How the GPU Rental Bubble Burst,https://www.latent.space/p/gpu-bubble,268,swyx,9,164
51,Ironies of Automation (1983),http://www.complexcognition.co.uk/2021/06/ironies-of-automation.html,62,harperlee,16,8
52,"Kudzu, the vine that never ate the South (2015)",https://www.smithsonianmag.com/science-nature/true-story-kudzu-vine-ate-south-180956325/,57,NoRagrets,17,58
53,How electric trains work and why they make interesting sounds [video],https://www.youtube.com/watch?v=IRJIJPTUXXE,166,zdw,22,64
54,Chunkr – Vision model based PDF chunking,https://github.com/lumina-ai-inc/chunkr,36,redbell,12,4
55,Day Rates (2023),https://davesmyth.com/day-rates,124,herbertl,8,39
56,Bridge to Nowhere,https://depth-first.com/articles/2024/05/24/bridge-to-nowhere/,91,egorpv,16,58
57,Answer any question about your photo albums with OmniQuery,https://jiahaoli.net/omniquery/,47,ljhnick,14,14
58,A Photo of the Moon,https://www.thisiscolossal.com/2024/10/darya-kawa-mirza-moon-photos/,77,surprisetalk,10,22
59,End-to-End Encrypted Cloud Storage in the Wild: A Broken Ecosystem,https://brokencloudstorage.info/,109,dogtype,22,60
60,Llamafile for Meltemi: The First LLM for Greek,https://tselai.com/meltemi-llamafile,42,fforflo,17,17
61,Realizing the dream of good workplace software,https://www.campsite.com/blog/realizing-the-dream-of-good-workplace-software,12,monkey_slap,10,5
